employee_id,job_role,job_level,business_travel,overtime,monthly_income,hourly_rate,daily_rate,monthly_rate,percent_salary_hike,stock_option_level,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
28,Research Director,3,Travel_Rarely,No,11994,53,419,21293,11,0,4,12,6,2,11
30,Research Scientist,1,Travel_Rarely,No,1232,96,391,19281,14,0,6,0,0,0,0
31,Research Scientist,1,Travel_Rarely,No,2960,83,699,17102,11,0,2,4,2,1,3
32,Manager,5,Travel_Rarely,No,19094,58,1282,10735,11,1,3,14,13,4,8
33,Research Scientist,1,Travel_Frequently,Yes,3919,72,1125,4681,22,0,5,10,2,6,7
35,Sales Executive,2,Travel_Rarely,No,6825,48,691,21173,11,1,2,9,7,4,2
36,Healthcare Representative,3,Travel_Rarely,No,10248,42,477,2094,14,1,4,22,6,5,17
38,Manager,5,Travel_Rarely,No,18947,83,705,22822,12,0,2,2,2,2,1
39,Laboratory Technician,1,Travel_Rarely,No,2496,78,924,6670,11,0,3,1,1,0,0
40,Healthcare Representative,2,Travel_Rarely,Yes,6465,41,1459,19121,13,0,5,4,2,1,3
41,Laboratory Technician,1,Travel_Rarely,No,2206,83,125,16117,13,0,5,10,0,1,8
42,Sales Representative,2,Travel_Rarely,No,2086,56,895,3335,14,1,6,1,0,0,0
45,Research Scientist,1,Travel_Rarely,Yes,2293,61,813,3020,16,1,2,2,0,2,0
46,Research Scientist,1,Travel_Rarely,No,2645,72,1273,21923,12,2,3,5,3,1,4
47,Sales Representative,1,Travel_Rarely,Yes,2683,86,869,3810,14,0,2,3,2,0,2
49,Sales Representative,1,Travel_Rarely,No,2014,97,890,9687,13,0,3,2,2,2,2
51,Research Scientist,1,Travel_Rarely,Yes,3419,82,852,13072,14,1,3,1,1,0,0
52,Sales Executive,2,Travel_Frequently,No,5376,42,1141,3193,19,2,3,5,3,1,3
53,Laboratory Technician,1,Travel_Rarely,No,1951,75,464,10910,12,1,3,1,0,0,0
54,Laboratory Technician,1,Travel_Rarely,No,2341,33,1240,19715,13,1,6,1,0,0,0
55,Laboratory Technician,1,Travel_Rarely,No,2293,48,1357,10558,12,0,2,1,0,0,1
56,Sales Executive,3,Travel_Frequently,No,8726,37,994,2975,15,0,0,9,8,1,7
57,Laboratory Technician,2,Travel_Frequently,No,4011,58,721,10781,23,0,2,12,8,3,7
58,Research Director,5,Travel_Rarely,No,19545,49,1360,16280,12,0,0,22,15,15,8
60,Sales Executive,2,Non-Travel,No,4568,72,1065,10034,20,0,2,9,5,8,7
61,Research Scientist,1,Travel_Rarely,No,3022,73,408,10227,21,0,1,1,0,0,0
62,Sales Executive,2,Travel_Frequently,Yes,5772,98,1211,20445,21,0,4,9,6,0,8
63,Laboratory Technician,1,Travel_Rarely,No,2269,36,1229,4892,19,0,2,1,0,0,1
64,Laboratory Technician,3,Travel_Rarely,Yes,5381,98,626,19294,13,0,2,1,0,0,0
65,Laboratory Technician,1,Travel_Rarely,Yes,3441,50,1434,11179,13,0,3,2,2,2,2
68,Sales Executive,2,Travel_Rarely,Yes,5454,75,1488,4009,21,1,2,4,3,1,3
70,Healthcare Representative,3,Non-Travel,Yes,9884,79,1097,8302,13,1,3,4,0,2,3
72,Sales Executive,2,Travel_Rarely,Yes,4157,47,1443,21436,19,1,2,2,2,0,0
73,Research Director,3,Travel_Frequently,Yes,13458,98,515,15146,12,0,1,15,14,8,12
74,Sales Executive,3,Travel_Frequently,No,9069,71,853,11031,22,1,3,9,8,1,8
75,Laboratory Technician,1,Travel_Rarely,Yes,4014,30,1142,16002,15,1,3,2,2,2,2
76,Laboratory Technician,2,Travel_Rarely,No,5915,48,655,9528,22,1,3,7,7,1,7
77,Manufacturing Director,2,Travel_Rarely,No,5993,51,1115,2689,18,1,2,7,5,0,7
78,Manufacturing Director,2,Travel_Rarely,Yes,6162,33,427,10877,22,1,3,9,8,7,8
79,Laboratory Technician,2,Travel_Frequently,No,2406,50,653,5456,11,0,2,10,3,9,9
80,Research Director,5,Travel_Rarely,Yes,18740,43,989,16701,12,1,2,27,3,13,8
81,Sales Executive,3,Travel_Rarely,No,7637,99,1435,2354,11,0,3,21,16,7,9
83,Healthcare Representative,3,Travel_Rarely,No,10096,59,1223,8202,13,3,2,17,14,12,8
84,Manager,4,Travel_Rarely,Yes,14756,33,836,19730,14,3,2,5,0,0,2
85,Manufacturing Director,2,Travel_Frequently,No,6499,95,1195,22656,13,0,3,6,5,0,3
86,Research Scientist,3,Travel_Rarely,No,9724,59,1339,18787,17,1,2,1,0,0,0
88,Research Scientist,1,Travel_Frequently,No,2194,79,664,5868,13,1,2,3,2,1,2
90,Research Scientist,1,Travel_Rarely,Yes,3388,79,318,21777,17,1,0,1,0,0,0
91,Sales Executive,2,Travel_Frequently,No,5473,57,1225,24668,11,0,2,4,3,1,3
94,Research Scientist,1,Travel_Rarely,No,2703,76,1328,4956,23,1,3,5,4,0,4
95,Research Scientist,1,Travel_Rarely,No,2501,87,1082,18775,17,0,4,1,1,1,0
96,Research Scientist,2,Travel_Rarely,No,6220,66,548,7346,17,2,3,10,4,0,9
97,Laboratory Technician,1,Travel_Rarely,No,3038,55,132,22002,12,0,3,1,0,0,0
98,Manufacturing Director,2,Travel_Rarely,No,4424,61,746,20682,23,0,2,11,7,1,8
100,Sales Executive,2,Travel_Rarely,No,4312,32,776,23016,14,0,2,15,13,2,8
101,Research Director,3,Travel_Rarely,Yes,13245,52,193,15067,14,0,3,0,0,0,0
102,Research Director,3,Travel_Rarely,No,13664,30,397,25258,13,0,3,5,2,0,2
103,Human Resources,2,Travel_Rarely,Yes,5021,80,945,10425,22,1,2,4,2,0,2
104,Laboratory Technician,2,Travel_Rarely,Yes,5126,55,852,15998,12,2,1,10,8,3,0
105,Research Scientist,1,Travel_Rarely,No,2859,30,1214,26278,18,0,3,6,4,0,4
106,Sales Executive,3,Travel_Rarely,No,10239,70,111,18092,14,1,4,1,0,1,0
107,Research Scientist,2,Non-Travel,Yes,5329,79,573,15717,12,3,3,13,11,1,9
110,Manufacturing Director,2,Travel_Rarely,No,4325,94,1153,17736,15,0,2,5,2,1,3
112,Manufacturing Director,3,Travel_Rarely,No,7260,49,1400,21698,11,0,3,6,4,0,2
113,Sales Representative,1,Travel_Rarely,No,2322,62,541,9518,13,1,3,0,0,0,0
116,Laboratory Technician,1,Travel_Rarely,No,2075,96,432,18725,23,2,4,4,2,0,3
117,Healthcare Representative,2,Travel_Rarely,No,4152,99,288,15830,19,3,3,11,10,10,8
118,Sales Executive,3,Travel_Rarely,No,9619,64,669,13596,16,0,3,9,8,4,7
119,Healthcare Representative,4,Travel_Frequently,No,13503,78,530,14115,22,1,3,22,3,11,11
120,Sales Executive,2,Travel_Rarely,Yes,5441,71,632,8423,22,0,2,10,7,1,0
121,Sales Executive,2,Travel_Rarely,Yes,5209,63,1334,19760,12,3,4,11,8,2,7
124,Healthcare Representative,3,Travel_Frequently,Yes,10673,40,638,3142,13,1,5,10,9,9,5
125,Sales Executive,2,Travel_Rarely,No,5010,87,1093,24301,16,0,0,11,8,5,7
126,Research Director,3,Travel_Rarely,No,13549,60,1217,24001,12,1,5,4,3,0,3
128,Sales Executive,2,Travel_Rarely,No,4999,33,1353,17519,21,1,2,3,2,0,2
129,Sales Executive,2,Non-Travel,No,4221,43,120,8863,15,0,3,5,4,0,4
131,Sales Executive,4,Travel_Rarely,No,13872,37,682,24409,13,0,1,37,10,1,8
132,Laboratory Technician,2,Non-Travel,No,2042,67,489,25043,12,1,3,3,2,1,2
133,Human Resources,1,Travel_Rarely,Yes,2073,63,807,23648,22,0,3,3,2,0,2
134,Research Scientist,1,Travel_Rarely,No,2956,71,827,15178,13,0,2,1,0,0,0
137,Laboratory Technician,1,Travel_Frequently,Yes,2926,66,871,19783,18,0,5,1,0,1,0
138,Research Scientist,2,Travel_Rarely,No,4809,41,665,12482,14,0,3,16,13,2,10
139,Healthcare Representative,2,Non-Travel,No,5163,100,1040,15850,14,1,2,1,0,0,0
140,Manager,5,Non-Travel,No,18844,32,1420,21922,21,1,3,3,2,2,2
141,Research Director,5,Travel_Frequently,Yes,18172,73,1115,9755,19,0,1,8,3,0,7
142,Sales Executive,2,Travel_Rarely,Yes,5744,46,240,26959,11,0,1,6,4,0,3
143,Research Scientist,1,Travel_Rarely,No,2889,64,1280,26897,11,2,2,2,2,2,1
144,Laboratory Technician,1,Travel_Rarely,No,2871,59,534,23785,15,0,5,0,0,0,0
145,Healthcare Representative,3,Travel_Frequently,No,7484,30,1456,25796,20,0,1,13,12,12,8
147,Laboratory Technician,2,Travel_Frequently,Yes,6074,66,658,22887,24,0,3,9,7,0,6
148,Manager,4,Non-Travel,Yes,17328,30,142,13871,12,0,3,5,3,4,4
150,Laboratory Technician,1,Travel_Rarely,No,2774,52,1127,13257,12,1,2,5,3,1,2
151,Research Scientist,2,Travel_Rarely,No,4505,45,1031,15000,15,1,3,1,0,0,0
152,Sales Executive,3,Travel_Rarely,No,7428,87,1189,14506,12,0,3,5,3,1,3
153,Manager,3,Travel_Rarely,No,11631,45,1354,5615,12,0,6,11,10,5,8
154,Sales Executive,3,Travel_Frequently,No,9738,92,1467,22952,14,1,6,9,7,2,8
155,Laboratory Technician,1,Travel_Rarely,No,2835,39,922,2561,22,1,2,1,0,0,0
158,Manager,4,Travel_Frequently,Yes,16959,92,394,19494,12,2,3,25,12,4,12
159,Research Scientist,1,Travel_Frequently,No,2613,96,1312,22310,25,3,2,10,7,0,9
160,Sales Executive,2,Non-Travel,No,6146,95,750,15480,13,1,2,7,7,0,7
161,Research Scientist,1,Travel_Rarely,Yes,4963,72,441,4510,18,3,2,5,4,4,3
162,Research Director,5,Travel_Rarely,No,19537,51,684,6462,13,0,5,20,18,15,15
163,Sales Executive,2,Travel_Rarely,Yes,6172,76,249,20739,18,0,3,7,7,7,7
164,Research Scientist,1,Travel_Rarely,No,2368,46,841,23300,19,0,3,5,4,4,3
165,Healthcare Representative,3,Travel_Rarely,No,10312,94,147,3465,12,1,3,40,10,15,6
167,Sales Representative,1,Travel_Rarely,Yes,1675,50,528,26820,19,0,2,0,0,0,0
169,Laboratory Technician,1,Travel_Rarely,No,2523,100,594,19299,14,1,2,2,1,2,1
170,Manufacturing Director,2,Travel_Rarely,No,6567,96,470,5549,14,0,2,15,11,5,11
171,Research Scientist,1,Travel_Frequently,No,4739,72,957,16090,12,0,2,3,2,1,2
174,Sales Executive,3,Travel_Frequently,No,9208,77,809,6645,11,0,3,2,2,2,1
175,Sales Executive,2,Travel_Rarely,Yes,4559,71,542,24788,11,1,2,2,2,2,2
176,Sales Executive,3,Travel_Rarely,Yes,8189,96,802,21196,13,1,2,9,7,0,7
177,Human Resources,1,Travel_Rarely,No,2942,61,1355,8916,23,1,3,8,7,5,7
178,Manufacturing Director,2,Travel_Rarely,No,4941,84,216,2819,20,2,0,3,2,0,1
179,Manufacturing Director,3,Travel_Frequently,No,10650,53,1150,25150,15,0,2,4,2,0,3
182,Sales Executive,2,Travel_Rarely,No,5902,47,1329,14590,14,1,1,15,11,5,9
183,Sales Executive,2,Travel_Rarely,No,8639,41,959,24835,18,0,3,2,2,2,2
184,Human Resources,2,Travel_Rarely,Yes,6347,48,1240,13982,19,0,2,11,9,4,7
190,Laboratory Technician,1,Travel_Rarely,No,4200,41,1033,10224,22,0,2,5,4,0,4
192,Research Scientist,1,Travel_Rarely,No,3452,83,1316,9752,13,0,2,6,5,0,3
193,Research Scientist,2,Travel_Rarely,Yes,4317,32,364,2302,20,0,2,3,2,2,2
194,Research Scientist,1,Travel_Rarely,No,2632,75,438,23910,14,0,4,5,4,0,4
195,Sales Executive,2,Travel_Frequently,No,4668,35,689,22812,17,3,2,8,7,0,7
197,Research Scientist,1,Travel_Rarely,No,3204,84,201,10415,14,1,3,3,2,2,2
198,Laboratory Technician,1,Travel_Rarely,No,2720,35,1427,11162,13,0,3,5,3,1,2
199,Manager,4,Travel_Frequently,No,17181,91,857,12888,13,1,2,7,6,7,7
200,Laboratory Technician,1,Travel_Rarely,No,2238,94,933,6961,21,1,2,5,0,1,4
201,Laboratory Technician,1,Travel_Rarely,No,1483,79,1181,16102,14,0,3,1,0,0,0
202,Research Scientist,2,Travel_Frequently,No,5605,54,1395,8504,11,1,2,20,7,2,13
204,Sales Executive,3,Travel_Rarely,No,7295,94,662,11439,13,2,3,10,8,0,6
205,Sales Representative,2,Travel_Rarely,Yes,2306,34,1436,16047,20,1,3,7,7,4,5
206,Laboratory Technician,2,Travel_Rarely,No,2348,60,194,10901,18,1,2,17,9,0,15
207,Sales Executive,3,Travel_Frequently,No,8998,43,967,15589,14,0,2,9,8,3,7
208,Manufacturing Director,2,Non-Travel,No,4319,41,1496,26283,13,1,1,10,7,0,9
211,Manufacturing Director,2,Travel_Rarely,No,6132,34,1169,13983,17,0,2,1,0,0,0
214,Research Scientist,1,Travel_Rarely,Yes,3346,75,1145,11873,20,1,3,1,0,0,0
215,Sales Executive,3,Travel_Rarely,No,10855,67,630,8552,11,1,2,12,11,2,11
216,Sales Representative,1,Travel_Frequently,No,2231,75,303,11314,18,1,3,4,3,1,2
217,Research Scientist,1,Travel_Rarely,No,2323,80,1256,11992,24,2,6,2,2,2,2
218,Research Scientist,1,Non-Travel,No,2024,57,691,5970,18,1,1,2,2,2,2
221,Research Scientist,1,Travel_Rarely,No,2713,42,440,6672,11,1,2,5,2,0,2
223,Healthcare Representative,3,Travel_Rarely,Yes,9439,83,334,23402,16,1,2,5,3,1,4
224,Research Scientist,1,Non-Travel,Yes,2566,79,1450,25326,15,1,2,1,1,0,1
226,Manager,5,Travel_Rarely,No,19926,53,1452,17053,15,0,5,5,4,4,4
227,Research Scientist,1,Travel_Rarely,No,2451,56,465,4609,12,1,2,9,8,1,8
228,Sales Executive,3,Travel_Rarely,No,9419,41,1339,8053,12,1,2,10,9,7,4
230,Sales Executive,2,Travel_Rarely,No,8686,59,702,12930,22,0,2,8,3,0,7
231,Research Scientist,1,Travel_Rarely,No,3038,43,120,12430,20,0,2,5,4,1,4
233,Research Scientist,1,Travel_Rarely,Yes,3058,51,1157,13364,16,1,3,5,2,1,1
235,Sales Representative,1,Travel_Frequently,No,2325,100,602,20989,21,0,5,0,0,0,0
238,Laboratory Technician,1,Travel_Frequently,No,2088,30,1480,15062,12,0,3,8,7,7,2
239,Laboratory Technician,2,Non-Travel,No,3072,66,111,11012,11,2,4,12,9,6,10
240,Sales Executive,2,Travel_Rarely,Yes,5006,30,1268,6319,11,1,3,5,4,0,3
241,Research Scientist,1,Travel_Rarely,Yes,4257,67,713,13939,18,1,3,2,2,2,2
242,Research Scientist,1,Travel_Rarely,No,2500,90,134,10515,14,0,2,3,1,0,2
243,Laboratory Technician,1,Travel_Rarely,No,1102,47,303,9241,22,0,3,1,0,1,0
244,Sales Executive,3,Travel_Rarely,No,10453,92,526,2137,25,3,2,24,13,15,7
245,Laboratory Technician,1,Travel_Rarely,No,2288,75,1380,6319,12,0,3,2,2,2,1
246,Research Scientist,1,Travel_Rarely,Yes,3929,95,140,6984,23,1,0,4,2,0,2
247,Research Scientist,1,Travel_Rarely,No,2311,95,629,5711,15,0,3,3,2,1,2
248,Sales Representative,1,Travel_Rarely,Yes,3140,70,1356,21728,22,0,5,4,3,0,2
249,Laboratory Technician,1,Travel_Rarely,No,3690,86,328,3425,15,1,2,3,2,0,2
250,Manufacturing Director,2,Travel_Rarely,No,4450,57,1084,26250,11,2,3,4,2,1,3
252,Research Scientist,1,Travel_Rarely,No,2756,72,931,4673,13,1,5,8,7,1,6
253,Manager,5,Travel_Rarely,No,19033,46,989,6499,14,1,2,20,8,9,9
254,Research Director,5,Travel_Rarely,No,18722,61,692,13339,11,0,3,24,15,2,15
256,Manufacturing Director,2,Travel_Frequently,No,9547,45,1069,14074,17,0,2,10,9,1,9
258,Healthcare Representative,4,Travel_Rarely,No,13734,98,313,7192,18,0,6,7,7,1,0
259,Manager,5,Travel_Rarely,No,19999,65,699,5678,14,1,5,33,18,11,9
260,Research Scientist,1,Travel_Rarely,No,2279,99,894,11781,16,0,2,7,7,0,3
261,Manufacturing Director,2,Travel_Rarely,Yes,5916,50,556,15497,13,0,1,1,0,0,1
262,Research Scientist,1,Non-Travel,No,2089,37,1344,5228,14,3,3,5,4,2,2
264,Manager,4,Non-Travel,No,16792,65,1195,20462,23,1,1,20,8,11,8
267,Research Scientist,1,Travel_Rarely,Yes,3564,65,290,22977,12,1,3,8,7,1,7
269,Laboratory Technician,2,Travel_Frequently,No,4425,37,138,15986,11,0,5,6,2,1,2
270,Manufacturing Director,2,Non-Travel,No,5265,36,926,16439,16,1,5,5,3,0,2
271,Manufacturing Director,2,Travel_Rarely,No,6553,88,1261,7259,14,0,3,1,0,0,0
273,Manufacturing Director,2,Travel_Rarely,No,6261,54,1084,4185,18,1,3,7,7,1,7
274,Manufacturing Director,2,Travel_Frequently,No,4298,60,472,9679,19,1,1,2,2,2,0
275,Manufacturing Director,2,Non-Travel,Yes,6804,92,1002,23793,15,2,0,7,7,1,7
277,Research Scientist,1,Travel_Frequently,Yes,3815,43,878,5972,17,1,4,5,3,2,0
281,Laboratory Technician,2,Travel_Rarely,Yes,2741,99,905,16523,15,1,2,7,2,3,7
282,Healthcare Representative,2,Travel_Rarely,Yes,6673,70,1180,11354,19,0,2,1,0,0,0
283,Sales Executive,3,Travel_Rarely,No,7639,35,121,24525,22,3,3,10,4,1,9
284,Research Scientist,1,Travel_Rarely,Yes,2328,60,1136,12392,16,1,2,4,2,2,2
286,Laboratory Technician,1,Travel_Frequently,No,2153,73,635,7703,13,0,2,8,1,1,7
287,Healthcare Representative,2,Non-Travel,No,4876,63,1151,14242,14,1,5,3,2,0,2
288,Healthcare Representative,3,Travel_Rarely,No,9396,97,644,12368,16,1,3,4,2,0,3
291,Sales Executive,3,Travel_Rarely,No,10400,32,1045,25812,11,0,2,14,8,9,8
292,Manufacturing Director,3,Non-Travel,No,8474,88,829,20925,22,0,2,11,8,5,8
293,Sales Executive,2,Travel_Frequently,No,9981,90,1242,12916,14,0,2,7,7,0,7
296,Research Director,3,Travel_Rarely,No,12490,81,1469,15736,16,2,5,10,9,4,7
297,Research Scientist,1,Travel_Rarely,Yes,2657,88,1005,8556,11,0,5,5,2,0,4
298,Manager,3,Travel_Rarely,Yes,13591,75,896,14674,18,0,3,1,0,0,0
299,Sales Executive,2,Travel_Frequently,No,6696,52,334,22967,15,0,5,6,3,0,1
300,Research Scientist,1,Travel_Rarely,No,2058,85,992,19757,14,0,1,6,2,1,5
302,Sales Executive,3,Non-Travel,No,8865,57,1052,16840,12,0,2,19,7,12,8
303,Sales Executive,2,Travel_Rarely,No,5940,52,1147,17011,14,1,4,6,2,0,5
304,Laboratory Technician,2,Travel_Rarely,No,5914,62,1396,9945,16,0,3,13,11,3,7
305,Research Scientist,1,Travel_Rarely,No,2622,47,147,13248,21,0,3,3,2,1,1
306,Research Director,3,Travel_Frequently,Yes,12185,47,663,10056,14,3,1,10,8,0,7
307,Sales Executive,3,Travel_Rarely,No,10609,76,119,9647,12,2,6,16,10,5,13
308,Manufacturing Director,2,Non-Travel,No,4345,90,979,4381,12,1,2,5,4,1,4
309,Research Scientist,1,Travel_Rarely,No,2177,70,142,8456,17,1,6,1,0,0,0
311,Sales Representative,1,Travel_Frequently,No,2793,41,319,2539,17,1,2,9,8,5,8
312,Sales Executive,3,Travel_Frequently,No,7918,42,1413,6599,14,1,5,11,10,4,1
314,Sales Executive,3,Travel_Frequently,No,8789,92,944,9096,14,0,3,10,7,0,8
315,Research Scientist,1,Travel_Rarely,Yes,2389,86,896,14961,13,0,3,4,3,0,1
316,Laboratory Technician,1,Travel_Rarely,No,3212,89,1323,3300,15,0,3,2,2,2,2
319,Manager,5,Travel_Rarely,No,19232,58,532,4933,11,0,3,22,17,11,15
321,Human Resources,1,Travel_Rarely,No,2267,52,818,25657,17,0,2,2,2,2,2
323,Manager,5,Travel_Rarely,No,19517,68,854,24118,11,1,3,7,0,0,6
325,Laboratory Technician,1,Travel_Rarely,Yes,2436,58,813,22149,13,1,2,5,4,0,4
327,Manager,4,Travel_Rarely,Yes,16064,80,1034,7744,22,1,3,17,13,1,9
328,Laboratory Technician,1,Travel_Rarely,No,2707,39,465,21509,20,0,3,9,7,1,7
329,Manager,5,Non-Travel,Yes,19068,79,771,21030,18,0,2,33,7,15,12
330,Sales Representative,1,Travel_Rarely,No,3931,56,1401,20990,11,1,5,4,3,1,2
331,Laboratory Technician,1,Travel_Rarely,Yes,3730,62,515,9571,14,0,2,3,2,1,2
332,Laboratory Technician,1,Travel_Rarely,No,2232,96,1431,15417,14,3,1,3,2,1,2
333,Sales Executive,2,Non-Travel,No,4465,100,976,12069,18,0,2,3,2,2,2
334,Research Scientist,2,Travel_Rarely,No,3072,36,1411,19877,16,2,2,1,0,0,0
335,Research Scientist,2,Travel_Rarely,No,3319,62,1300,24447,17,2,3,9,8,4,7
336,Manager,5,Travel_Rarely,No,19202,70,252,15970,11,1,2,24,0,1,7
337,Research Director,3,Travel_Frequently,No,13675,73,1327,13523,12,1,3,2,2,2,2
338,Research Scientist,1,Travel_Rarely,No,2911,63,832,14776,13,1,2,2,2,0,2
339,Manufacturing Director,2,Travel_Rarely,No,5957,84,470,23687,13,1,3,11,9,5,9
340,Research Scientist,1,Travel_Rarely,No,3920,83,1017,18697,14,1,2,3,1,0,2
341,Manufacturing Director,2,Travel_Frequently,No,6434,77,1199,5118,17,1,1,3,2,0,2
342,Manufacturing Director,3,Travel_Frequently,No,10048,61,504,22573,11,2,5,1,0,0,0
343,Healthcare Representative,3,Travel_Frequently,No,10938,64,505,6420,25,0,1,19,6,11,8
346,Research Scientist,1,Travel_Rarely,No,2340,60,665,22673,19,0,1,6,5,1,5
347,Research Scientist,2,Travel_Rarely,Yes,6545,82,916,23016,13,0,1,3,2,0,2
349,Sales Executive,2,Travel_Rarely,No,6931,45,1247,10732,14,1,2,3,2,0,2
350,Manufacturing Director,2,Travel_Rarely,No,4898,62,685,7505,12,2,3,4,2,1,2
351,Laboratory Technician,1,Travel_Rarely,Yes,2593,56,269,8007,11,1,4,9,6,7,8
352,Research Director,5,Travel_Rarely,No,19436,49,1416,5949,19,1,5,21,7,3,9
353,Research Scientist,1,Travel_Rarely,No,2723,96,833,23231,11,0,0,1,0,0,0
355,Laboratory Technician,1,Travel_Frequently,No,3479,71,307,11652,11,0,2,5,4,1,4
359,Laboratory Technician,1,Travel_Frequently,No,2794,100,1311,26062,20,0,3,5,1,0,3
361,Sales Executive,2,Non-Travel,No,5249,39,1327,19682,18,1,0,8,7,7,5
362,Laboratory Technician,2,Travel_Rarely,No,2176,84,128,19737,13,0,5,6,2,0,4
363,Manager,4,Travel_Rarely,Yes,16872,75,488,14977,12,1,2,7,7,7,7
364,Laboratory Technician,1,Travel_Rarely,No,3485,79,529,14935,11,0,5,0,0,0,0
366,Sales Executive,2,Travel_Rarely,No,6644,78,1210,3687,19,2,2,0,0,0,0
367,Healthcare Representative,2,Travel_Rarely,No,5582,64,1463,14408,21,1,2,9,0,7,8
369,Healthcare Representative,2,Non-Travel,No,4000,85,675,18384,12,2,2,6,3,1,5
372,Healthcare Representative,4,Travel_Rarely,Yes,13496,79,1385,7501,14,0,2,20,7,4,10
373,Laboratory Technician,1,Travel_Rarely,No,3210,47,1403,20251,11,1,4,15,13,10,11
374,Manager,5,Travel_Rarely,Yes,19045,81,452,18938,14,0,2,36,10,4,13
376,Manager,3,Non-Travel,Yes,11849,88,666,10268,12,1,2,10,7,9,9
377,Research Scientist,1,Travel_Rarely,No,2070,94,1158,2613,23,1,3,5,2,0,4
378,Sales Executive,2,Travel_Rarely,No,6502,98,228,22825,14,1,5,5,4,0,1
379,Research Scientist,1,Travel_Rarely,No,3230,100,996,10531,17,0,4,3,2,1,0
380,Research Director,3,Non-Travel,Yes,13603,80,728,11677,18,2,2,5,2,0,2
381,Manager,3,Travel_Rarely,No,11996,71,1315,19100,18,1,6,7,7,6,2
382,Sales Executive,2,Travel_Rarely,Yes,5605,44,322,19191,24,1,3,8,0,7,7
384,Manufacturing Director,2,Travel_Frequently,No,6397,84,1479,26767,20,1,6,6,5,1,4
385,Research Director,5,Travel_Rarely,No,19144,96,797,15815,14,2,4,10,4,1,6
386,Research Director,4,Travel_Rarely,Yes,17584,45,1070,21016,16,3,5,5,3,1,3
387,Sales Executive,2,Travel_Rarely,No,4907,99,635,24532,25,0,3,20,16,11,6
388,Sales Executive,2,Travel_Frequently,No,4554,44,442,20260,18,0,3,10,7,0,9
389,Laboratory Technician,2,Travel_Rarely,Yes,5415,37,147,15972,19,1,4,10,7,0,8
390,Healthcare Representative,2,Travel_Frequently,Yes,4741,60,496,22722,13,1,3,5,3,3,3
391,Research Scientist,1,Travel_Rarely,No,2115,42,1372,15881,12,0,3,17,12,5,7
392,Laboratory Technician,1,Travel_Frequently,Yes,3161,43,920,19920,22,1,0,1,0,0,0
393,Healthcare Representative,2,Travel_Rarely,No,5745,82,688,18899,14,1,2,2,2,1,2
394,Laboratory Technician,1,Travel_Rarely,Yes,2373,45,1449,14180,13,1,2,3,2,0,2
395,Research Scientist,1,Travel_Rarely,No,3310,66,1117,4488,21,0,3,5,3,0,2
396,Research Director,5,Travel_Frequently,Yes,18665,35,636,25594,11,0,4,3,2,1,2
397,Research Scientist,2,Travel_Rarely,No,4485,30,506,26285,12,0,2,8,0,7,7
